#Release 10.1 - par K.31 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Nov 18 15:13:05 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_map.ncd
#OUTPUT FILE:      TOP_pad.csv
#PART TYPE:        xc2v1000
#SPEED GRADE:      -4
#PACKAGE:          fg456
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,,
A3,,,DXP,,,,,,,,,,,,,
A4,clki3,IOB,IO_L01P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A5,dio_c<1>,IOB,IO_L03P_0/VRN_0,TRISTATE,LVTTL*,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A6,,DIFFM,IO_L05P_0,UNUSED,,0,,,,,,,,,,
A7,,DIFFM,IO_L22P_0,UNUSED,,0,,,,,,,,,,
A8,,DIFFM,IO_L49P_0,UNUSED,,0,,,,,,,,,,
A9,,DIFFM,IO_L54P_0,UNUSED,,0,,,,,,,,,,
A10,,DIFFM,IO_L93P_0,UNUSED,,0,,,,,,,,,,
A11,,DIFFM,IO_L96P_0/GCLK4S,UNUSED,,0,,,,,,,,,,
A12,,,VCCAUX,,,,,,,,3.3,,,,,
A13,dio_c<11>,IOB,IO_L93N_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A14,dio_c<7>,IOB,IO_L54N_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A15,,DIFFS,IO_L51N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A16,,DIFFS,IO_L22N_1,UNUSED,,1,,,,,,,,,,
A17,dio_c<9>,IOB,IO_L05N_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A18,dio_f<4>,IOB,IO_L03N_1/VRP_1,TRISTATE,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A19,r1out_a,IOB,IO_L01N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A20,,,NC,,,,,,,,,,,,,
A21,,,VBATT,,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,,
AA1,,,VCCAUX,,,,,,,,3.3,,,,,
AA2,,,GND,,,,,,,,,,,,,
AA3,vcs,IOB,IO_L01P_5/CS_B,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AA4,vpd<7>,IOB,IO_L02P_5/D7,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA5,di<1>,IOB,IO_L04P_5/VREF_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
AA6,,DIFFM,IO_L19P_5,UNUSED,,5,,,,,,,,,,
AA7,dif_ren<1>,IOB,IO_L22P_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,YES,NONE,
AA8,dif_ren<5>,IOB,IO_L51P_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AA9,,DIFFM,IO_L54P_5,UNUSED,,5,,,,,,,,,,
AA10,dio_e<13>,IOB,IO_L93P_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA11,,DIFFS,IO_L96N_5/GCLK7S,UNUSED,,5,,,,,,,,,,
AA12,,DIFFS,IO_L96N_4/GCLK1S,UNUSED,,4,,,,,,,,,,
AA13,,DIFFS,IO_L93N_4,UNUSED,,4,,,,,,,,,,
AA14,dio_f<10>,IOB,IO_L54N_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AA15,dof_wen<4>,IOB,IO_L49N_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AA16,,DIFFS,IO_L22N_4,UNUSED,,4,,,,,,,,,,
AA17,,DIFFS,IO_L06N_4,UNUSED,,4,,,,,,,,,,
AA18,dif_oen<1>,IOB,IO_L04N_4/VREF_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
AA19,,DIFFM,IO_L01P_4/INIT_B,UNUSED,,4,,,,,,,,,,
AA20,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,,
AA21,,,GND,,,,,,,,,,,,,
